,f1,acc,prec,kappa,recall
2000,0.6125933831376735,0.737527114967462,0.5070671378091873,0.4268414508978775,0.7735849056603774
left,0.5853658536585366,0.7049891540130152,0.4698205546492659,0.3772099255429756,0.7762803234501348
seven,0.5770020533880903,0.7020968908170644,0.4652317880794702,0.3669510111300971,0.7594594594594595
crossprocess,0.5828220858895706,0.7049891540130152,0.46875,0.37488339939777593,0.7702702702702703
inspiration,0.5565939771547249,0.6912509038322487,0.45193929173693087,0.33870655278950157,0.7243243243243244
bronx,0.5865800865800866,0.7237888647866956,0.4891696750902527,0.39130484876695415,0.7324324324324324
rough,0.5922131147540983,0.7122198120028923,0.4768976897689769,0.38933487765263475,0.7810810810810811
sanfranciscobayarea,0.60021436227224,0.7302964569775849,0.49733570159857904,0.4095824859022179,0.7567567567567568
lago,0.6371681415929203,0.7628344179320318,0.5393258426966292,0.4694902885371057,0.7783783783783784
sketch,0.583864118895966,0.7165582067968185,0.4807692307692308,0.38359033366457984,0.7432432432432432
discovery,0.5855670103092784,0.7093275488069414,0.47333333333333333,0.3805461777584651,0.7675675675675676
stilllife,0.6004273504273504,0.7295733911785972,0.49646643109540634,0.4093037384885251,0.7594594594594595
elevator,0.5744456177402323,0.7086044830079538,0.47058823529411764,0.3688985967069661,0.7371273712737128
waterway,0.6485310119695322,0.7664497469269703,0.5418181818181819,0.48361937723462767,0.8075880758807588
commerce,0.5921908893709327,0.7281272595806219,0.4936708860759494,0.4002297546054726,0.7398373983739838
cooking,0.5711183496199783,0.7143890093998554,0.47644927536231885,0.36945313013999836,0.7127371273712737
oriental,0.6,0.7310195227765727,0.49732620320855614,0.41012093944772354,0.7560975609756098
135,0.546018614270941,0.6825741142443963,0.4414715719063545,0.3224197215070359,0.7154471544715447
westminster,0.5850945494994438,0.7302964569775849,0.4962264150943396,0.3946574479245508,0.7127371273712737
gps,0.5729275970619098,0.7057122198120029,0.4674657534246575,0.3654153800364597,0.7398373983739838
teenager,0.5916069600818833,0.7114967462039046,0.4753289473684211,0.38855961360108227,0.7831978319783198
maple,0.5783385909568876,0.7100506146059291,0.4725085910652921,0.3738598220424809,0.7452574525745257
coach,0.6054644808743169,0.7389732465654375,0.5073260073260073,0.42114233440811966,0.7506775067750677
eastbay,0.5644820295983086,0.7020968908170644,0.462738301559792,0.3543329571259569,0.7235772357723578
vessel,0.5782608695652174,0.7194504699927693,0.48188405797101447,0.3804278549061989,0.7228260869565217
oslo,0.5886075949367088,0.7180043383947939,0.4810344827586207,0.3899937118583494,0.7581521739130435
narrow,0.596340150699677,0.7288503253796096,0.49376114081996436,0.40518585039069355,0.7527173913043478
westernaustralia,0.5546558704453441,0.6818510484454086,0.44193548387096776,0.33135842405755955,0.7445652173913043
velvia,0.6111696522655427,0.7331887201735358,0.4991394148020654,0.4232622215491647,0.7880434782608695
challengeyouwinner,0.6085997794928335,0.7433116413593637,0.5120593692022264,0.4275642228950992,0.75
diana,0.6092572658772873,0.737527114967462,0.5044563279857398,0.42421990317819136,0.7690217391304348
da,0.6155580608793687,0.7534345625451916,0.5260115606936416,0.44171617911847116,0.7418478260869565
drinks,0.6102783725910065,0.7368040491684743,0.5035335689045937,0.4247679815710751,0.7744565217391305
citylife,0.6218302094818081,0.7519884309472162,0.5231910946196661,0.44691416465639167,0.7663043478260869
naturesfinest,0.6879271070615034,0.8018799710773681,0.592156862745098,0.5482945808509574,0.8206521739130435
mosque,0.6464410735122521,0.7809110629067245,0.5653061224489796,0.49241312982166285,0.7547683923705722
worldheritagesite,0.6473214285714286,0.7715112075198843,0.5482041587901701,0.4863823655924089,0.7901907356948229
models,0.5904139433551198,0.7281272595806219,0.49183303085299457,0.39894585972536867,0.7384196185286104
heights,0.5648535564853555,0.6992046276211136,0.45840407470288624,0.35343473189019825,0.7356948228882834
portsmouth,0.5867237687366167,0.7208966015907448,0.48324514991181655,0.39027850113757845,0.7465940054495913
tire,0.5769622833843018,0.6999276934201012,0.4609120521172638,0.3665394841547954,0.771117166212534
diy,0.6214442013129102,0.749819233550253,0.5191956124314442,0.44523768671078323,0.773841961852861
richard,0.6064516129032258,0.735357917570499,0.5008880994671403,0.4201510284690497,0.7683923705722071
alpine,0.6449511400651465,0.7635574837310195,0.5361010830324909,0.4784484498452902,0.8092643051771117
kingston,0.5759493670886076,0.7093275488069414,0.4690721649484536,0.371832418141143,0.7459016393442623
half,0.5584281282316442,0.6912509038322487,0.4492512479201331,0.3419635425197982,0.7377049180327869
dj,0.6024915062287656,0.7462039045553145,0.5145067698259188,0.42398590320915575,0.726775956284153
colombia,0.5726495726495726,0.7107736804049168,0.46935201401050786,0.36968614198241223,0.7342465753424657
afs,0.5283018867924528,0.6746203904555315,0.42784380305602715,0.30026804225713166,0.6904109589041096
humor,0.5729847494553377,0.7165582067968185,0.4755877034358047,0.37390750013858354,0.7205479452054795
fotografie,0.5997842502696872,0.7317425885755604,0.49466192170818507,0.41144278207485596,0.7616438356164383
vt,0.5423387096774194,0.6717281272595806,0.42902711323763953,0.313209206476298,0.736986301369863
arbre,0.6228070175438596,0.7512653651482285,0.5191956124314442,0.44807456269591395,0.7780821917808219
nikond70,0.5912486659551761,0.7230657989877078,0.48426573426573427,0.39692318552312333,0.7589041095890411
24,0.5985247629083246,0.7245119305856833,0.4863013698630137,0.40537743737777143,0.7780821917808219
kevin,0.6099893730074389,0.7346348517715112,0.4982638888888889,0.42383045964289723,0.7863013698630137
di,0.621559633027523,0.7613882863340564,0.5334645669291339,0.4541781876979305,0.7445054945054945
blood,0.5770925110132159,0.7223427331887202,0.48161764705882354,0.3822819204124076,0.7197802197802198
touring,0.5966386554621849,0.7223427331887202,0.48299319727891155,0.402317478324285,0.7802197802197802
economy,0.5714285714285714,0.7114967462039046,0.4691358024691358,0.36920565571212516,0.7307692307692307
swing,0.5957446808510638,0.725234996384671,0.4861111111111111,0.40326470548159865,0.7692307692307693
ponte,0.6407982261640798,0.7657266811279827,0.5371747211895911,0.4764069259010846,0.7939560439560439
freeway,0.6247288503253796,0.749819233550253,0.5161290322580645,0.44928426911205177,0.7912087912087912
noflash,0.5784418356456777,0.7143890093998554,0.4721254355400697,0.37861927527478345,0.7465564738292011
ky,0.5887445887445888,0.725234996384671,0.48484848484848486,0.39635150688141363,0.7493112947658402
holy,0.6344206974128235,0.765003615328995,0.5361216730038023,0.4697154708940776,0.7768595041322314
cone,0.5587628865979382,0.690527838033261,0.4464579901153213,0.3429111883733632,0.7465564738292011
haus,0.6081229418221734,0.7418655097613883,0.5054744525547445,0.42726940543926495,0.7630853994490359
85mm,0.5800865800865801,0.7194504699927693,0.47771836007130125,0.3836431175526013,0.7382920110192838
efs,0.5911542610571736,0.7259580621836587,0.4858156028368794,0.39930000446951963,0.7548209366391184
sister,0.602829162132753,0.7360809833694866,0.4982014388489209,0.41798365311113184,0.7630853994490359
biking,0.5955176093916755,0.7259580621836587,0.48606271777003485,0.40378912741555173,0.768595041322314
nero,0.6256860592755215,0.7534345625451916,0.5200729927007299,0.45293800351481617,0.7851239669421488
geometric,0.5798687089715536,0.7223427331887202,0.4809437386569873,0.3853589433773592,0.7300275482093664
portraiture,0.5572687224669605,0.7093275488069414,0.46422018348623856,0.3535985601573781,0.696969696969697
schnee,0.6397306397306397,0.7678958785249458,0.5397727272727273,0.4770527431751922,0.7851239669421488
travels,0.6015538290788014,0.7404193781634129,0.5027829313543599,0.41987644987947614,0.7486187845303868
archaeology,0.6098360655737706,0.7418655097613883,0.5045207956600362,0.42926088318558087,0.7707182320441989
longisland,0.5403726708074533,0.6789587852494577,0.43211920529801323,0.3167193734824999,0.7209944751381215
durham,0.5548387096774193,0.7006507592190889,0.45422535211267606,0.3456120179482901,0.712707182320442
violet,0.6056034482758621,0.735357917570499,0.49646643109540634,0.4206103200402912,0.7762430939226519
former,0.5847826086956522,0.7237888647866956,0.482078853046595,0.39161046929412424,0.7430939226519337
2001,0.5901287553648069,0.7237888647866956,0.4824561403508772,0.3971009134108432,0.7596685082872928
diesel,0.618942731277533,0.749819233550253,0.5146520146520146,0.4438811798340423,0.7762430939226519
sierra,0.6065217391304347,0.7382501807664498,0.5,0.4234633243049031,0.7707182320441989
milan,0.5682819383259912,0.7165582067968185,0.4725274725274725,0.36994630778885707,0.712707182320442
shift,0.5867237687366167,0.7208966015907448,0.479020979020979,0.3917027691620498,0.7569060773480663
theme,0.5464025026068822,0.6854663774403471,0.43812709030100333,0.3274707363888296,0.7257617728531855
edificio,0.6540284360189573,0.7888647866955893,0.5714285714285714,0.506630210891285,0.7645429362880887
mesa,0.5331928345626975,0.6796818510484454,0.4302721088435374,0.31000381786422593,0.7008310249307479
made,0.5531019978969506,0.6926970354302241,0.4457627118644068,0.3390238773442429,0.7285318559556787
float,0.5757250268528463,0.7143890093998554,0.47017543859649125,0.37641047768748437,0.7423822714681441
quay,0.6017699115044248,0.7396963123644251,0.5009208103130756,0.41984604736036246,0.7534626038781164
smooth,0.5926701570680628,0.7187274041937817,0.4764309764309764,0.39680590920252,0.7839335180055401
gente,0.6289592760180996,0.7628344179320318,0.5315487571701721,0.4631452626496214,0.7700831024930748
maritime,0.612756264236902,0.7541576283441793,0.5203094777562862,0.4408799048751486,0.7451523545706371
13,0.5957894736842104,0.7223427331887202,0.48047538200339557,0.40234438302393005,0.7839335180055401
covered,0.5770833333333333,0.7064352856109906,0.46243739565943237,0.37276949783400837,0.7673130193905817
lookout,0.6228813559322034,0.7425885755603759,0.5042881646655232,0.4434393743796814,0.814404432132964
faded,0.5750798722044728,0.7114967462039046,0.4671280276816609,0.3738751260891322,0.7479224376731302
korean,0.5693430656934307,0.7013738250180767,0.45652173913043476,0.36148371064042895,0.7562326869806094
chevrolet,0.5912087912087912,0.7310195227765727,0.4890909090909091,0.40352683384925736,0.7472222222222222
milano,0.5951327433628318,0.735357917570499,0.4944852941176471,0.41042825594722276,0.7472222222222222
favorites,0.5805763073639274,0.7158351409978309,0.4714038128249567,0.38266712553283566,0.7555555555555555
medical,0.5754614549402823,0.7172812725958062,0.47237076648841353,0.378318347525876,0.7361111111111112
piano,0.6124293785310734,0.7519884309472162,0.5161904761904762,0.4392503147330532,0.7527777777777778
convention,0.5967914438502674,0.7274041937816341,0.4852173913043478,0.40690702475813467,0.775
prison,0.566200215285253,0.7086044830079538,0.46221441124780316,0.3631221525561432,0.7305555555555555
puerto,0.6049107142857143,0.7440347071583514,0.5055970149253731,0.42621371512151207,0.7527777777777778
mamiya,0.5966386554621849,0.7223427331887202,0.4797297297297297,0.4035418744440551,0.7888888888888889
