,L0 Cluster,L1 Cluster,L2 Cluster,L3 Cluster,L4 Cluster
77,7088.6,11710.4,18514.0,0.0,0.0
78,10053.0,7091.2,5836.0,0.0,0.0
79,7093.4,12353.4,5725.6,0.0,0.0
80,6902.8,6881.0,14928.0,0.0,0.0
81,11359.6,29255.6,16853.0,0.0,0.0
82,6187.4,21002.8,24027.2,0.0,0.0
83,4829.4,18250.0,5940.2,0.0,0.0
84,15727.2,13529.6,35910.0,0.0,0.0
85,6768.2,27325.6,26454.4,0.0,0.0
86,43321.2,12657.4,8107.6,0.0,0.0
87,22804.8,25373.8,12408.0,0.0,0.0
88,2982.0,8939.4,6120.4,0.0,0.0
89,6915.4,5212.2,11271.8,0.0,0.0
90,9257.4,14018.4,2433.0,0.0,0.0
91,6222.6,4043.2,2336.0,0.0,0.0
92,5957.6,8043.0,22769.6,0.0,0.0
93,5209.0,15297.6,25123.333333333332,0.0,0.0
94,4717.0,7848.6,57175.333333333336,0.0,0.0
95,6112.4,24699.2,227258.33333333334,0.0,0.0
96,9193.4,6700.0,30489.5,0.0,0.0
97,3865.8,13199.8,22705.5,0.0,0.0
98,10730.4,15784.0,19011.5,0.0,0.0
99,5939.8,10072.6,158145.0,0.0,0.0
100,5950.6,13489.8,0.0,0.0,0.0
101,5119.0,2711.8,0.0,0.0,0.0
102,11518.2,9405.6,0.0,0.0,0.0
103,4934.4,6343.2,0.0,0.0,0.0
104,4436.8,8122.0,0.0,0.0,0.0
105,7237.6,10715.8,0.0,0.0,0.0
106,24051.4,11074.2,0.0,0.0,0.0
107,3134.4,8963.4,0.0,0.0,0.0
108,40236.6,4314.4,0.0,0.0,0.0
109,26113.6,3205.8,0.0,0.0,0.0
110,9175.2,7514.6,0.0,0.0,0.0
111,4029.6,6004.6,0.0,0.0,0.0
112,14713.4,9284.0,0.0,0.0,0.0
113,12647.2,11018.8,0.0,0.0,0.0
114,4803.2,8242.6,0.0,0.0,0.0
115,3054.8,23201.2,0.0,0.0,0.0
116,9069.8,9880.8,0.0,0.0,0.0
117,29378.2,11798.6,0.0,0.0,0.0
118,5908.2,46268.2,0.0,0.0,0.0
119,13682.6,13562.8,0.0,0.0,0.0
120,11437.0,20771.0,0.0,0.0,0.0
121,9154.4,3153.2,0.0,0.0,0.0
122,7241.2,6062.2,0.0,0.0,0.0
123,5007.2,24665.4,0.0,0.0,0.0
124,5796.4,64388.2,0.0,0.0,0.0
125,4471.0,13792.0,0.0,0.0,0.0
126,7564.4,6187.4,0.0,0.0,0.0
127,17216.6,9716.0,0.0,0.0,0.0
128,7253.0,14516.8,0.0,0.0,0.0
129,6041.6,5278.8,0.0,0.0,0.0
130,10935.8,11450.0,0.0,0.0,0.0
