,f1,acc,prec,kappa,recall
huddersfield,0.395644283,0.759219089,0.262650602,0.290553999,0.801470588
headshot,0.350584307,0.718727404,0.226781857,0.234161493,0.772058824
grab,0.395759717,0.752711497,0.260465116,0.289616682,0.823529412
golfcourse,0.36097561,0.715835141,0.231732777,0.245381857,0.816176471
zuikodigital,0.348111658,0.712942878,0.22410148,0.230580262,0.779411765
groups,0.372093023,0.726681128,0.240343348,0.259331779,0.823529412
mental,0.352542373,0.723788865,0.22907489,0.237083419,0.764705882
killer,0.351265823,0.703543022,0.223790323,0.232855844,0.816176471
canond60,0.354992076,0.70571222,0.226262626,0.237322721,0.823529412
fp4,0.38178634,0.744757773,0.250574713,0.272834922,0.801470588
monolith,0.380952381,0.727404194,0.245243129,0.269341962,0.852941176
bandera,0.443594646,0.789587852,0.299741602,0.348828969,0.852941176
fortifications,0.419294991,0.773680405,0.280397022,0.319181027,0.830882353
gateshead,0.374558304,0.744034707,0.246511628,0.264690952,0.779411765
1973,0.415441176,0.770065076,0.276960784,0.314296138,0.830882353
slovenija,0.379130435,0.74186551,0.248291572,0.269430926,0.801470588
curitiba,0.41218638,0.762834418,0.272511848,0.30947894,0.845588235
re,0.399274047,0.760665221,0.265060241,0.294814936,0.808823529
novembre,0.405109489,0.76428055,0.269417476,0.301882878,0.816176471
poladroid,0.383193277,0.734634852,0.248366013,0.272873787,0.838235294
blanca,0.393559928,0.754880694,0.260047281,0.287526157,0.808823529
billdoyle,0.379432624,0.74692697,0.25,0.270565223,0.786764706
parkinggarage,0.416510319,0.775126537,0.279596977,0.316364012,0.816176471
armenia,0.414448669,0.777295734,0.279487179,0.314484903,0.801470588
priory,0.443594646,0.789587852,0.299741602,0.348828969,0.852941176
blast,0.361247947,0.718727404,0.23255814,0.246084942,0.808823529
coaches,0.439306358,0.789587852,0.297650131,0.344112868,0.838235294
blancetnoir,0.379061372,0.751265365,0.251196172,0.270862517,0.772058824
bolts,0.362745098,0.718004338,0.233193277,0.24766084,0.816176471
cafeteria,0.371379898,0.73318872,0.241685144,0.259482347,0.801470588
kleur,0.391061453,0.763557484,0.261845387,0.286234669,0.772058824
gutter,0.353140917,0.724511931,0.229580574,0.237857822,0.764705882
mx,0.359735974,0.71945047,0.231914894,0.244494254,0.801470588
slip,0.393617021,0.752711497,0.259345794,0.287238018,0.816176471
kultur,0.424474187,0.782357195,0.286821705,0.326451957,0.816176471
fontaine,0.463654224,0.802603037,0.316353887,0.373336697,0.867647059
torres,0.4,0.759219089,0.264916468,0.295377733,0.816176471
downhill,0.393617021,0.752711497,0.259345794,0.287238018,0.816176471
knitting,0.366386555,0.727404194,0.237472767,0.253061084,0.801470588
dirtroad,0.437847866,0.780911063,0.292079208,0.341487561,0.874074074
400iso,0.369602763,0.736080983,0.240990991,0.258610586,0.792592593
saariysqualitypictures,0.40647482,0.761388286,0.268408551,0.303516981,0.837037037
skatepark,0.37254902,0.722342733,0.238993711,0.259939298,0.844444444
liz,0.364227642,0.717281273,0.233333333,0.249938622,0.82962963
citroen,0.414814815,0.771511208,0.27654321,0.31443362,0.82962963
catholicism,0.460580913,0.812002892,0.319884726,0.372368724,0.822222222
mongolia,0.331674959,0.708604483,0.213675214,0.212326647,0.740740741
toll,0.40733945,0.766449747,0.270731707,0.30531153,0.822222222
roanoke,0.349102773,0.711496746,0.223849372,0.232221494,0.792592593
gulfcoast,0.399267399,0.762834418,0.265206813,0.295776747,0.807407407
whiskers,0.419847328,0.780187997,0.28277635,0.321513987,0.814814815
yenumula,0.347386172,0.720173536,0.22489083,0.231511116,0.762962963
mole,0.402903811,0.762111352,0.266826923,0.299680013,0.822222222
pipeline,0.350482315,0.707881417,0.223819302,0.233286128,0.807407407
masterpiece,0.418691589,0.775126537,0.28,0.319339141,0.82962963
1001nightsmagiccity,0.436229205,0.779464931,0.290640394,0.339451567,0.874074074
fuente,0.455486542,0.809833695,0.316091954,0.366357797,0.814814815
1962,0.3847487,0.743311641,0.251131222,0.276557465,0.822222222
corsica,0.43378119,0.786695589,0.292746114,0.338033791,0.837037037
distritofederal,0.411428571,0.776572668,0.276923077,0.311591156,0.8
verkehr,0.410646388,0.775849602,0.276214834,0.310599336,0.8
q,0.398613518,0.749096168,0.260180995,0.292860395,0.851851852
mohawk,0.339506173,0.690527838,0.214424951,0.218761631,0.814814815
diamonds,0.317757009,0.68329718,0.201183432,0.193399166,0.755555556
hotsprings,0.381944444,0.742588576,0.249433107,0.273327843,0.814814815
lakesuperior,0.368866328,0.730296457,0.239035088,0.256936792,0.807407407
taichung,0.349914237,0.725958062,0.227678571,0.235174639,0.755555556
stable,0.36589698,0.74186551,0.240654206,0.255385186,0.762962963
nagoya,0.40776699,0.779464931,0.276315789,0.308097335,0.777777778
1956,0.340715503,0.720173536,0.221238938,0.224071118,0.740740741
pointofview,0.374787053,0.734634852,0.243362832,0.264170802,0.814814815
jp,0.348122867,0.723788865,0.22616408,0.232858213,0.755555556
spaceship,0.375221239,0.744757773,0.246511628,0.266191689,0.785185185
alliance,0.34,0.713665944,0.219354839,0.222338658,0.755555556
lampost,0.436293436,0.788864787,0.295039164,0.341196508,0.837037037
historique,0.450704225,0.802603037,0.309392265,0.359647293,0.82962963
retired,0.390070922,0.751265365,0.256410256,0.283702359,0.814814815
mauritius,0.425225225,0.76934201,0.280952381,0.325587581,0.874074074
drug,0.358003442,0.730296457,0.233183857,0.244829843,0.77037037
nys,0.403571429,0.758496023,0.265882353,0.299831749,0.837037037
daisies,0.422222222,0.774403471,0.281481481,0.323111676,0.844444444
oesterreich,0.396330275,0.762111352,0.263414634,0.292407101,0.8
pammorris,0.356401384,0.731019523,0.232505643,0.243154977,0.762962963
london2012,0.423791822,0.775849602,0.282878412,0.32509398,0.844444444
bonn,0.424474187,0.782357195,0.286082474,0.327000771,0.822222222
celebrations,0.371681416,0.743311641,0.244186047,0.262034135,0.777777778
accomodation,0.393822394,0.772957339,0.266318538,0.291560628,0.755555556
hccity,0.510729614,0.835140998,0.359516616,0.431959186,0.881481481
reflejos,0.427184466,0.786695589,0.289473684,0.330782669,0.814814815
masks,0.38869258,0.749819234,0.255220418,0.281944394,0.814814815
stern,0.432950192,0.785972523,0.291989664,0.336987153,0.837037037
vauxhall,0.389982111,0.753434563,0.257075472,0.283949549,0.807407407
smell,0.332805071,0.695589299,0.211267606,0.212628655,0.78358209
fremantle,0.365482234,0.728850325,0.236323851,0.25364489,0.805970149
pinetree,0.425760286,0.767895879,0.28,0.326539714,0.888059701
flour,0.356401384,0.731019523,0.231981982,0.24384243,0.768656716
multipleexposure,0.385840708,0.749096168,0.252900232,0.279305648,0.813432836
attitude,0.351758794,0.720173536,0.226781857,0.237106363,0.78358209
audio,0.409448819,0.78308026,0.278074866,0.311177225,0.776119403
ranges,0.39242685,0.744757773,0.255033557,0.285973788,0.850746269
kangaroo,0.374570447,0.736804049,0.243303571,0.26492242,0.813432836
penny,0.364238411,0.722342733,0.234042553,0.251349081,0.820895522
ds,0.362369338,0.735357918,0.236363636,0.251129568,0.776119403
sensational,0.368243243,0.729573391,0.237991266,0.256827665,0.813432836
