,f1,acc,prec,kappa,recall
galleries,0.510344828,0.845986985,0.354632588,0.439146055,0.909836066
compass,0.514423077,0.853940709,0.363945578,0.4452533,0.87704918
strata,0.472406181,0.827187274,0.32326284,0.394326917,0.87704918
goodbye,0.512820513,0.848879248,0.358306189,0.442423693,0.901639344
tara,0.475555556,0.829356471,0.326219512,0.398161226,0.87704918
deutsche,0.545023697,0.861171367,0.383333333,0.479775717,0.942622951
cerveza,0.523584906,0.853940709,0.367549669,0.455112502,0.909836066
quintanaroo,0.529411765,0.861171367,0.377622378,0.462999515,0.885245902
bigsur,0.478935698,0.830079537,0.328267477,0.401967405,0.885245902
marching,0.477678571,0.830802603,0.328220859,0.400744389,0.87704918
crimson,0.496420048,0.847433116,0.35016835,0.42444217,0.852459016
celebrities,0.404669261,0.778741866,0.265306122,0.312112533,0.852459016
fortaleza,0.597938144,0.887201735,0.436090226,0.54261607,0.950819672
boarded,0.494382022,0.837310195,0.340557276,0.420123625,0.901639344
ghostly,0.51536643,0.851771511,0.362126246,0.445788903,0.893442623
laborday,0.481818182,0.835140998,0.333333333,0.406088961,0.868852459
dordogne,0.583333333,0.884309472,0.427480916,0.526313085,0.918032787
andreas,0.542713568,0.868402025,0.391304348,0.478966652,0.885245902
lajolla,0.465934066,0.824295011,0.318318318,0.386749949,0.868852459
jewellery,0.46799117,0.825741142,0.320241692,0.389258523,0.868852459
dragondaggerphoto,0.703812317,0.926970354,0.547945205,0.665963598,0.983606557
wideopen,0.522565321,0.854663774,0.367892977,0.454172205,0.901639344
jerry,0.492957746,0.843817787,0.345394737,0.419925357,0.860655738
pentaxkx,0.492957746,0.843817787,0.345394737,0.419925357,0.860655738
apo,0.545882353,0.860448301,0.382838284,0.480543668,0.950819672
bray,0.513447433,0.856109906,0.365853659,0.444700465,0.860655738
heavenly,0.453563715,0.817064353,0.307917889,0.371956024,0.860655738
nicolas,0.52173913,0.856832972,0.369863014,0.453767499,0.885245902
drawbridge,0.464692483,0.830079537,0.321766562,0.386538792,0.836065574
dezember,0.554707379,0.873463485,0.402214022,0.493029881,0.893442623
1981,0.444915254,0.810556761,0.3,0.361365303,0.860655738
along,0.481400438,0.828633406,0.328358209,0.404367871,0.901639344
postmodern,0.522727273,0.848156182,0.36163522,0.452976675,0.942622951
bellagio,0.480769231,0.843817787,0.340136054,0.406805509,0.819672131
griffith,0.484444444,0.832248735,0.332317073,0.408361884,0.893442623
sonora,0.477272727,0.833694866,0.330188679,0.400879215,0.860655738
pressure,0.378676471,0.75560376,0.244075829,0.280157811,0.844262295
banco,0.595300261,0.887924801,0.436781609,0.539994206,0.93442623
rancho,0.404210526,0.795372379,0.271954674,0.314306588,0.786885246
mpls,0.398452611,0.775126537,0.260759494,0.304734163,0.844262295
southland,0.469248292,0.831525669,0.324921136,0.391759738,0.844262295
mercer,0.460176991,0.823571945,0.315151515,0.380362691,0.852459016
pubs,0.52173913,0.864786696,0.377777778,0.456007724,0.842975207
castel,0.522167488,0.859725235,0.371929825,0.455255336,0.876033058
cylinder,0.44820296,0.811279826,0.301136364,0.365590755,0.876033058
