,f1,acc,prec,kappa,recall
19th,0.481707317,0.754157628,0.3412527,0.354563299,0.81865285
historisch,0.551607445,0.808387563,0.409547739,0.44782101,0.844559585
ham,0.466571835,0.728850325,0.321568627,0.331142175,0.849740933
buildingexterior,0.55500821,0.804049168,0.40625,0.450184913,0.875647668
telaviv,0.457725948,0.731019523,0.318458418,0.321665524,0.813471503
bold,0.469208211,0.738250181,0.326530612,0.336933114,0.833333333
canaryislands,0.5089141,0.780911063,0.369411765,0.392780292,0.817708333
pillow,0.4826546,0.751988431,0.33970276,0.355533818,0.833333333
bournemouth,0.490625,0.76428055,0.350446429,0.367738624,0.817708333
monitor,0.454005935,0.733911786,0.317427386,0.318731979,0.796875
wreath,0.540192926,0.793203181,0.390697674,0.430967363,0.875
sheet,0.460843373,0.741142444,0.324152542,0.328261861,0.796875
learn,0.47515528,0.75560376,0.338495575,0.348118212,0.796875
bishop,0.483920368,0.756326826,0.342733189,0.358095238,0.822916667
humour,0.418938307,0.707158351,0.289108911,0.272607207,0.760416667
otago,0.455474453,0.730296457,0.31643002,0.319485834,0.8125
oceano,0.564102564,0.815618221,0.419847328,0.464151408,0.859375
sb600,0.464646465,0.731742589,0.321357285,0.330196401,0.838541667
volunteers,0.451219512,0.739696312,0.318965517,0.317104484,0.770833333
nasa,0.496875,0.767172813,0.354910714,0.375496432,0.828125
planar,0.452276065,0.730296457,0.314928425,0.315879514,0.802083333
18135mm,0.460624071,0.737527115,0.322245322,0.327088485,0.807291667
photographe,0.485530547,0.768618944,0.351162791,0.363320127,0.786458333
snail,0.482866044,0.759942155,0.344444444,0.357901008,0.807291667
sierranevada,0.522691706,0.779464931,0.37360179,0.407637248,0.869791667
toby,0.464912281,0.735357918,0.323170732,0.331375719,0.828125
soir,0.499224806,0.766449747,0.355408389,0.377914531,0.838541667
auspctagged,0.419127989,0.701373825,0.287090559,0.271471154,0.776041667
nightshots,0.47425897,0.756326826,0.338530067,0.347319024,0.791666667
what,0.449635036,0.727404194,0.312373225,0.312188095,0.802083333
mario,0.474320242,0.748373102,0.333333333,0.345747284,0.821989529
transparency,0.435413643,0.718727404,0.301204819,0.294582974,0.785340314
lowtide,0.560402685,0.810556761,0.412345679,0.458828063,0.87434555
archaeological,0.534883721,0.797541576,0.391727494,0.42679006,0.842931937
ithaca,0.459459459,0.739696312,0.322105263,0.326850795,0.80104712
sir,0.554455446,0.804772234,0.404819277,0.450518565,0.879581152
strength,0.42513369,0.689081706,0.28545781,0.276277519,0.832460733
rua,0.556492411,0.809833695,0.410447761,0.454315098,0.863874346
bosque,0.517350158,0.778741866,0.37020316,0.401921435,0.858638743
griechenland,0.524590164,0.790310918,0.381861575,0.413273218,0.837696335
marion,0.44245142,0.730296457,0.309623431,0.30536296,0.77486911
ana,0.480127186,0.763557484,0.344748858,0.356323949,0.790575916
filipino,0.435530086,0.715112075,0.299802761,0.293857398,0.795811518
sonyalphadslra200,0.475757576,0.749819234,0.334754797,0.347732211,0.821989529
modeling,0.448736999,0.731742589,0.313278008,0.31279273,0.790575916
blind,0.433285509,0.714389009,0.298418972,0.29114563,0.790575916
unescoworldheritage,0.561403509,0.81923355,0.422163588,0.46273068,0.837696335
oval,0.48,0.75560376,0.339869281,0.353999104,0.816753927
sick,0.505529226,0.773680405,0.36199095,0.387373248,0.837696335
nacional,0.503205128,0.775849602,0.362586605,0.385409111,0.821989529
infant,0.5,0.768618944,0.356347439,0.379822366,0.837696335
writer,0.460587326,0.747650036,0.326754386,0.330195709,0.780104712
wheelchair,0.456035768,0.736080983,0.31875,0.322088868,0.80104712
5dii,0.461068702,0.744757773,0.325431034,0.329964851,0.790575916
fragment,0.44057971,0.720896602,0.304609218,0.300940743,0.795811518
nights,0.481658692,0.765003615,0.346330275,0.35843269,0.790575916
alsace,0.530821918,0.801879971,0.394402036,0.423702676,0.811518325
kanada,0.443502825,0.715112075,0.303675048,0.302900201,0.821989529
kuala,0.499224806,0.766449747,0.354625551,0.378368148,0.842931937
womens,0.491551459,0.760665221,0.347826087,0.368251743,0.837696335
jessica,0.454148472,0.728850325,0.314516129,0.318180922,0.816753927
twisted,0.445747801,0.726681128,0.308943089,0.308724939,0.8
moderne,0.546952224,0.801156905,0.398081535,0.441537045,0.873684211
boarding,0.462962963,0.748373102,0.327510917,0.333534586,0.789473684
upon,0.492706645,0.773680405,0.355971897,0.373593266,0.8
livingroom,0.513731826,0.782357195,0.370629371,0.399352434,0.836842105
leute,0.473933649,0.759219089,0.338600451,0.348692333,0.789473684
nuts,0.42,0.706435286,0.288235294,0.274831461,0.773684211
lomolca,0.478658537,0.752711497,0.336909871,0.35222305,0.826315789
carmel,0.459665145,0.743311641,0.323340471,0.328522329,0.794736842
cityoflondon,0.574870912,0.821402748,0.427109974,0.478426367,0.878947368
eastvillage,0.508527132,0.770788142,0.36043956,0.390363423,0.863157895
blade,0.450502152,0.723065799,0.309664694,0.31324364,0.826315789
eastmidlands,0.455357143,0.735357918,0.317427386,0.321673617,0.805263158
gettyvacation2010,0.488687783,0.754880694,0.342494715,0.364020624,0.852631579
pancake,0.450867052,0.725234996,0.310756972,0.314163565,0.821052632
touristic,0.543001686,0.804049168,0.399503722,0.438073762,0.847368421
canarias,0.528239203,0.794649313,0.38592233,0.418981488,0.836842105
mf,0.444771723,0.727404194,0.308793456,0.307799537,0.794736842
pei,0.456716418,0.736804049,0.31875,0.323561898,0.805263158
hollow,0.454413893,0.727404194,0.313373253,0.318686273,0.826315789
frontier,0.454676259,0.725958062,0.312871287,0.318643936,0.831578947
photobyanyhoo,0.485804416,0.76428055,0.346846847,0.363286645,0.810526316
d100,0.452276065,0.730296457,0.313645621,0.316962885,0.810526316
ss,0.48125,0.759942155,0.342222222,0.357032432,0.810526316
pilgrimage,0.56,0.817064353,0.418181818,0.460802096,0.847368421
avion,0.50726979,0.779464931,0.365967366,0.391370407,0.826315789
anyhoo,0.485804416,0.76428055,0.346846847,0.363286645,0.810526316
rr,0.459701493,0.738250181,0.320833333,0.327278591,0.810526316
elderly,0.462686567,0.739696312,0.322916667,0.330995284,0.815789474
murder,0.447058824,0.72812726,0.310204082,0.31055367,0.8
1685mm,0.464339909,0.744757773,0.326226013,0.33413214,0.805263158
copy,0.41350211,0.698481562,0.282149712,0.265647821,0.773684211
airshow,0.485623003,0.767172813,0.348623853,0.363890881,0.8
1968,0.473763118,0.746203905,0.331236897,0.345072389,0.831578947
plaid,0.489984592,0.760665221,0.346405229,0.366971031,0.836842105
palma,0.512987013,0.78308026,0.370023419,0.399150208,0.835978836
hiphop,0.498392283,0.774403471,0.357967667,0.38052579,0.82010582
drip,0.459909228,0.74186551,0.322033898,0.32893916,0.804232804
wight,0.5,0.777295734,0.360655738,0.383127547,0.814814815
flooded,0.471264368,0.733911786,0.3234714,0.339824262,0.867724868
baycity,0.476190476,0.753434563,0.335497835,0.350137867,0.82010582
panels,0.461769115,0.740419378,0.322175732,0.330665416,0.814814815
mesh,0.454148472,0.728850325,0.313253012,0.319279884,0.825396825
historicdistrict,0.490625,0.76428055,0.348115299,0.369113486,0.830687831
backgrounds,0.438122333,0.714389009,0.299610895,0.297795379,0.814814815
balconies,0.536184211,0.796095445,0.38902148,0.428547566,0.862433862
joshua,0.447761194,0.732465654,0.311850312,0.312949119,0.793650794
