Orig,ndcg,Bow,ndcg,Vector,ndcg
knowing,0.695379956,knowing,0.689882827,knowing,0.695828399
fails,0.718685869,fails,0.710957448,fails,0.72057319
air,0.706203416,air,0.602201837,air,0.705413232
tough,0.746363145,tough,0.723910038,tough,0.750331593
blood,0.7433838,blood,0.704425389,blood,0.747743618
fair,0.643776374,fair,0.644022833,fair,0.643661809
inspired,0.718207956,inspired,0.709955349,inspired,0.719078556
quick,0.679844728,quick,0.678698943,quick,0.6804516
engaging,0.729174941,engaging,0.70739483,engaging,0.730492258
intelligent,0.749495508,intelligent,0.691378264,intelligent,0.736875715
purchase,0.773073891,purchase,0.704652656,purchase,0.773807101
considered,0.705990144,considered,0.697688151,considered,0.705784289
opportunity,0.692599654,opportunity,0.696180961,opportunity,0.692750855
speak,0.70308061,speak,0.684324284,speak,0.702790173
avoid,0.712833152,avoid,0.699732075,avoid,0.712417775
stands,0.690638556,stands,0.691222445,stands,0.691208784
situations,0.744527869,situations,0.742180683,situations,0.74645728
song,0.833589988,song,0.801107034,song,0.839577545
parents,0.780766843,parents,0.718085216,parents,0.78226277
impossible,0.664077725,impossible,0.666344205,impossible,0.664880377
content,0.716355071,content,0.694499468,content,0.717339953
alive,0.653712868,alive,0.640068628,alive,0.65462336
fascinating,0.756445974,fascinating,0.7437894,fascinating,0.758188793
manner,0.695586962,manner,0.698628762,manner,0.695402332
ideas,0.735926485,ideas,0.703050125,ideas,0.734926525
stage,0.800106842,stage,0.692358736,stage,0.803161801
decide,0.713198574,decide,0.693329741,decide,0.714352122
holds,0.691996813,holds,0.694896388,holds,0.693448847
catch,0.668432299,catch,0.659199972,catch,0.667147409
portrayal,0.775329732,portrayal,0.770709167,portrayal,0.77647475
helps,0.694759498,helps,0.695225369,helps,0.695215201
male,0.761122225,male,0.689841492,male,0.762529657
natural,0.689357242,natural,0.670338979,natural,0.68997736
girls,0.78181774,girls,0.625259259,girls,0.784809956
process,0.67886848,process,0.670395609,process,0.677783321
changed,0.709607167,changed,0.692946172,changed,0.709485653
equally,0.691593407,equally,0.695076313,equally,0.691036469
society,0.772112274,society,0.692461724,society,0.774790121
charm,0.802499448,charm,0.766211049,charm,0.802207256
century,0.729794156,century,0.710064684,century,0.731470342
