,ndcg
elk,0.626829052
push,0.62678893
chesterfield,0.626619961
circuit,0.626587311
fukuoka,0.626525006
dynamic,0.626415072
400iso,0.626387673
abby,0.626307354
curry,0.626304355
f4l,0.626219066
birminghamuk,0.626218236
asleep,0.626168866
56,0.626117653
slab,0.626022371
parigi,0.625999556
grayscale,0.625885179
powerlines,0.625798952
accommodation,0.625707628
eastyorkshire,0.625623935
sleeping,0.625438259
bellagio,0.625423003
anderson,0.625258269
wheels,0.625200499
lions,0.625050765
meditation,0.624830989
biology,0.6247856
martinez,0.624732936
igreja,0.624693464
langzeitbelichtung,0.624684505
frankrike,0.624569724
fastfood,0.624471474
reserve,0.624303095
palo,0.62405555
session,0.623943098
cosina,0.623829882
colchester,0.623746766
1970s,0.623659729
cups,0.623580596
specanimal,0.623523877
electricity,0.623487182
columns,0.623476338
fujichrome,0.623458293
excitement,0.623235982
colombia,0.623109725
kerry,0.622974379
photoaday,0.622931914
bowling,0.622858388
hq,0.622553461
boca,0.622339501
atlanta,0.622258445
roman,0.622158334
cleveland,0.62209001
1d,0.62207825
airline,0.622038937
alt,0.622032352
crazy,0.622020454
aerialphotography,0.621987448
neutral,0.621958102
spanish,0.621895232
zoo,0.621882796
stucco,0.621350473
bedandbreakfast,0.621288238
ciutat,0.621282069
hound,0.621276444
tiki,0.621172308
45,0.620981947
tray,0.62094332
jamie,0.620907301
performer,0.620859487
500,0.620654671
howard,0.620600456
cleavage,0.620582469
mule,0.620568017
blacksea,0.620553048
famousplace,0.620463529
rave,0.620312859
drew,0.620276138
icons,0.620125577
1994,0.620075279
techno,0.619985525
edited,0.619884729
5,0.619831066
1999,0.619721315
piccadilly,0.619551158
karen,0.619393361
pierre,0.61938882
chain,0.619310257
page,0.619090211
menschen,0.618869759
shell,0.618747981
366,0.618719872
offshore,0.618610115
res,0.618433981
collar,0.618363319
decayed,0.618357642
pass,0.618263509
az,0.617906426
boards,0.61786232
drip,0.617792033
decatur,0.617781231
fortress,0.617453019
alaska,0.617445082
walmart,0.617304504
manual,0.617285498
edgewater,0.617210391
60s,0.617153908
stockport,0.61708589
surface,0.616973498
afrika,0.616940634
barbedwire,0.6168487
barnsley,0.616797819
geotag,0.616780915
anticando,0.616776865
sonyalpha700,0.616769405
southbeach,0.616728843
citrit,0.616196936
rose,0.616139257
trace,0.616101221
nantes,0.615927713
blonde,0.61554809
suite,0.615544077
soil,0.615500732
novascotia,0.615408106
extra,0.615405971
amour,0.615364683
dri,0.615146213
gingerbread,0.615052692
runners,0.614887838
carolina,0.614843955
panasonicdmctz3,0.614504029
contraluz,0.61447247
am,0.614351455
weapons,0.61419781
four,0.614182999
noflash,0.614147783
pregamewinner,0.614056317
coins,0.614056288
competition,0.614053768
oceania,0.613964337
streaks,0.613899215
boathouse,0.613830764
flowering,0.613777365
inscription,0.613737257
km,0.613706163
alive,0.613569425
sx10is,0.613230168
mountainrange,0.613219156
nightshot,0.613204426
song,0.613012425
colin,0.612996182
bilbao,0.612835065
breathtaking,0.612647522
patriot,0.612582656
28,0.61237997
grunge,0.61223469
majorca,0.61215977
fayetteville,0.612151176
canoneos1000d,0.612052468
escarpment,0.612037941
apart,0.611837823
racetrack,0.611768015
arthur,0.611761448
bathroom,0.611709784
schweden,0.611587829
richmond,0.611527727
finger,0.611490557
quai,0.611480402
atmosphere,0.61144011
croydon,0.611241866
2nd,0.611189202
geothermal,0.611090301
archive,0.611018382
everglades,0.610915355
weston,0.610913402
nocturne,0.610887393
ceremony,0.610833145
carry,0.610818463
anglesanglesangles,0.610783444
relaxation,0.610706437
gardens,0.610699883
dwelling,0.610678982
reis,0.610624791
forgotten,0.610605922
paesaggi,0.610575858
portico,0.610504853
delete,0.610443956
marshall,0.610436003
chat,0.610414077
god,0.61028125
cd,0.610137272
alcohol,0.61008868
ritratto,0.6100886
tigers,0.610064317
blackberry,0.61000133
barcos,0.609782277
k800i,0.609778674
families,0.609777319
chelsea,0.609505534
list,0.609338782
1982,0.609191045
decor,0.609186891
nasa,0.609059164
birch,0.609000914
obama,0.608983865
barrage,0.608869713
shard,0.608738632
cobra,0.608533653
chemical,0.608360796
visual,0.608345842
resolution,0.608132623
grind,0.608000888
montagnes,0.607978512
cost,0.607950774
cookcounty,0.607879401
aa,0.607776053
vernon,0.607734613
lille,0.607703318
bold,0.607334095
maison,0.607290087
landscapes,0.607282316
peppers,0.607230957
ttv,0.606935271
balance,0.606870789
d4,0.606869312
dishes,0.606771733
albany,0.60663793
speech,0.606607336
algae,0.606454622
cornice,0.606256712
clark,0.606198737
zambia,0.606101441
lausanne,0.60601961
suit,0.605968243
backpacking,0.605860347
banff,0.605429483
kevin,0.605350485
champs,0.6053503
canon1022,0.605316529
buried,0.604914441
newcastle,0.604867811
care,0.604855211
carro,0.60471088
atlantis,0.604638476
access,0.604522195
fairfax,0.60441534
huntington,0.604268539
panhandle,0.604251973
pakistan,0.604209262
abandon,0.604204569
500cm,0.604029585
rolleicord,0.603987374
velvet,0.603982238
amor,0.603915331
90mm,0.603886896
aquatic,0.603811506
toskana,0.603796992
whitney,0.603766882
chateau,0.603766397
supreme,0.603686023
cs4,0.603474502
bacon,0.603442265
ecosse,0.603375906
singing,0.603241647
1986,0.603038855
zaragoza,0.602667901
antwerpen,0.602649159
iranian,0.602602452
elite,0.602546328
goa,0.601928914
1968,0.601913018
hackney,0.601896761
baroque,0.601865738
umbrellas,0.60180764
silk,0.601803619
smoking,0.601775248
elevator,0.601662417
unescoworldheritage,0.601585769
buggy,0.60151734
don,0.601403895
bcn,0.601262848
malaysian,0.601167539
fifty,0.601165627
backstein,0.601123599
cattle,0.601082945
horses,0.600991112
check,0.600983577
dublin,0.600941541
magenta,0.600538404
traveldestination,0.600493995
220,0.600402783
cobblestone,0.600324473
jail,0.600267249
muni,0.600252031
bnw,0.600027598
nativeamerican,0.59995047
enfield,0.599922941
mississippiriver,0.599917943
goose,0.599839307
cambridge,0.599802866
athlete,0.599743324
aplusphoto,0.59973215
blvd,0.599665383
shed,0.599511131
birding,0.599406801
domes,0.599404194
aberystwyth,0.599329198
vakantie,0.59920021
ks,0.598946459
grasslands,0.598867174
battlefield,0.598733595
methodist,0.598634556
paved,0.598394214
museo,0.598297218
hoodie,0.598217492
talvi,0.598117711
crew,0.598116127
delivery,0.598056214
powerful,0.598039424
spirit,0.597870866
clown,0.597845882
aid,0.597819811
pedestrians,0.597802667
technique,0.59761105
jfk,0.597470015
bigsur,0.597379085
remains,0.597354165
chatham,0.59720925
asylum,0.597085492
arty,0.597040533
ghost,0.596661719
ditch,0.596545455
coches,0.596433533
owen,0.596185937
basel,0.596118912
allrightsreserved,0.595997086
ninja,0.595967176
southpacific,0.59579874
