,ndcg
northvancouver,0.535514927
ale,0.535490385
architektur,0.535264483
hail,0.535222845
pakistan,0.535197523
wroughtiron,0.535018927
tainan,0.534915099
93,0.534899519
250,0.534872837
1855mmf3556gii,0.534739928
milkyway,0.534719166
decline,0.534608668
falmouth,0.534509021
decoration,0.534409133
mp,0.534281211
relaxation,0.534098461
downs,0.533803294
historia,0.533400534
3000,0.533250435
step,0.533174997
monotone,0.533156879
venezia,0.533095682
laboratory,0.53308794
scrub,0.533086328
gf1,0.533005469
moto,0.532990722
topless,0.532947831
toycamera,0.532865852
denver,0.532686766
flughafen,0.532613531
christmastree,0.532584098
batiment,0.532396075
order,0.532360776
helsinki,0.532297799
76,0.532037527
devil,0.531912048
sex,0.531762817
estatua,0.531681083
cerro,0.531671713
inscription,0.531650662
globetrotter,0.531584658
drawbridge,0.531314666
mountainrange,0.531208656
dorf,0.530859972
four,0.530850592
airforce,0.530806057
3exp,0.530777316
rebelxsi,0.530771966
dresden,0.530688267
views,0.530508684
360,0.530441317
savannah,0.53034008
advertisement,0.530150068
finnland,0.530057803
botanic,0.529985811
archive,0.529973603
quayside,0.529961496
reisen,0.529746227
celebrity,0.52968803
wiltshire,0.52967905
behind,0.529665003
lobster,0.529639995
salmon,0.529484325
altitude,0.529466059
cairns,0.529403774
polished,0.528793483
carlsbad,0.528738474
cobra,0.528534042
grind,0.528518592
125,0.528475458
july4th,0.528428907
faro,0.52835093
iraq,0.52826362
contact,0.5278877
cousin,0.527782798
hound,0.52775099
athlete,0.527483585
manual,0.527328858
court,0.527250775
apartment,0.527209995
trek,0.527187714
arlington,0.52714864
60s,0.527073418
ektar100,0.527059753
hut,0.52702304
fujichrome,0.526944023
australasia,0.526939447
year,0.526903574
oldtown,0.526727346
lisbon,0.526667313
disco,0.526590912
patina,0.526516338
corrugated,0.526512945
dennis,0.526249765
homemade,0.526101624
amore,0.526048851
crawford,0.526040465
shrubs,0.525809608
litter,0.525797538
fridge,0.525718229
administration,0.525671931
grasslands,0.525323232
deep,0.525173869
districtofcolumbia,0.525153553
gondola,0.524991056
camel,0.524932937
perak,0.524822303
dundas,0.524672486
birch,0.524627867
35,0.524504879
fingers,0.524478874
condo,0.524336055
cracks,0.524326578
2002,0.52408467
cod,0.524084558
upperpeninsula,0.52394853
barrier,0.523880708
p,0.523756909
sfo,0.523528664
puglia,0.52337816
fotografia,0.523235058
camp,0.523165386
jewish,0.523010976
istanbul,0.522943496
a77,0.522942743
dean,0.522920556
cascades,0.522856591
escocia,0.52279614
14,0.522795835
barrels,0.522795467
topf50,0.522784913
rosa,0.522642372
lombardia,0.522605818
whitney,0.522581308
getty,0.522550297
atlanta,0.522540792
mitsubishi,0.522502295
bengal,0.522436072
bosque,0.5222715
nightview,0.522252426
antico,0.522205463
nicole,0.522202917
foster,0.522134806
1970s,0.522022648
ball,0.521918575
7th,0.521860582
buddha,0.521809499
pol,0.521778807
casio,0.521654443
frankfurtammain,0.521616232
fade,0.521582342
excellent,0.521549956
vanishing,0.521447308
1785,0.521431348
champs,0.52139511
cor,0.521312705
tongue,0.521263954
foods,0.521226272
powerful,0.521173576
exhibition,0.521147878
poplar,0.521139344
crazy,0.521120945
45,0.520933186
bigcity,0.520850017
aquitaine,0.52080414
zonsondergang,0.520794125
chelsea,0.520658798
caballo,0.520658344
trenton,0.520619501
friedhof,0.520610354
vakantie,0.520602854
gay,0.520589824
duna,0.520541637
afrika,0.520531826
gambling,0.520497993
ciel,0.520496197
vatican,0.520435551
denoise,0.520406401
glacial,0.520345415
1994,0.520336397
dishes,0.520329466
angel,0.520308928
18105,0.520122271
1968,0.520008519
atlantis,0.519985281
f8,0.519982996
usc,0.519915939
wildflower,0.519859582
41,0.519853747
breakwater,0.51980356
br,0.519787868
claw,0.519624697
openspace,0.51955779
ethan,0.519512809
grancanaria,0.519417638
ambient,0.51941658
surface,0.519414025
ourdailychallenge,0.519410727
ceremony,0.519330729
cheshire,0.519265823
1740l,0.519117429
alton,0.519105555
cops,0.518987153
resorts,0.518948755
oldfashioned,0.518852397
decker,0.518820351
naturalworld,0.518745559
1740,0.518695311
medway,0.518687633
tucson,0.51847615
cylinder,0.518417057
hang,0.518232678
366,0.518181578
stickers,0.51798321
arboretum,0.517695638
alphabet,0.517642968
africanamerican,0.517607538
raven,0.517601922
blacksea,0.517520697
amazon,0.51746627
coastline,0.517420825
telegraph,0.51742009
ever,0.517368751
albany,0.517320709
eos40d,0.51732047
crane,0.517271574
photographic,0.5172054
dilapidated,0.517200788
valletta,0.51717661
88,0.517123653
commuter,0.517119312
amigos,0.516991812
ef50mmf14usm,0.516978863
round,0.516642176
luxurious,0.51655676
human,0.516513892
ne,0.516263031
4wd,0.516158187
ayrshire,0.51614186
cloudless,0.516101707
austintx,0.51607026
suburb,0.516065695
danish,0.51586673
rivier,0.515839362
18135mm,0.515810801
dublin,0.515769818
clinton,0.515701266
code,0.515634553
antalya,0.515608663
ferries,0.515588414
familia,0.515570552
bunker,0.515492186
artisan,0.515406663
precious,0.515396906
200mm,0.51536009
delawareriver,0.515210106
homestead,0.515194867
beast,0.515122002
abraham,0.515102816
mayor,0.514970176
panel,0.514904517
cleavage,0.514848037
freiburg,0.514797672
banana,0.514764321
pasture,0.514725725
passion,0.51467124
33,0.514664819
southyorkshire,0.514646865
bacon,0.514570032
canonef24105mmf4lisusm,0.514416784
citylife,0.514389801
christ,0.51434842
ligne,0.514303564
costume,0.514290016
ottawa,0.514204563
geese,0.51410656
zuidholland,0.514051506
buff,0.513923604
sx70,0.513850091
arty,0.513835895
norden,0.513784311
azzurro,0.513649158
bikini,0.513617462
ana,0.513547898
horticulture,0.51335719
premier,0.513322875
bond,0.513237205
ap,0.513233121
abstraction,0.513166463
avril,0.513108978
unitedarabemirates,0.513045514
salt,0.512944046
18,0.512942518
moth,0.512908462
vt,0.512643845
28135mm,0.512575055
monde,0.512565231
parigi,0.512532138
presentation,0.512510386
eagles,0.512255165
ciutat,0.51224842
69,0.512229105
abu,0.512167229
1912,0.512118471
aragon,0.512071567
allen,0.512067077
pie,0.511972014
a230,0.511941194
render,0.511901725
leash,0.51187553
beagle,0.511731358
kerry,0.511677414
albero,0.511551318
westcountry,0.511406386
interiordesign,0.511383585
dca,0.511312756
harley,0.511287826
exploring,0.511238478
skip,0.511237804
beau,0.511201995
arco,0.511186243
silk,0.511141107
cara,0.511122063
cream,0.511052789
agricultural,0.51103283
stitched,0.510945095
4,0.510920755
50mmf18,0.510918782
diana,0.510830192
mic,0.510690586
bizarre,0.510637908
johnny,0.510632084
amarillo,0.510589527
70300,0.510481375
farmhouse,0.51035558
365project,0.51029193
under,0.510286746
still,0.510128392
offshore,0.510010185
cobbles,0.509990044
prayer,0.509894066
1260mm,0.509882438
abby,0.509834696
baseball,0.509755525
gourmet,0.509721432
bent,0.509718469
streaks,0.509507566
geotag,0.50924592
luggage,0.509244606
jasper,0.50921761
lissabon,0.509137055
childrens,0.509136257
keys,0.508944777
blancetnoir,0.508929918
czechrepublic,0.508818835
led,0.508704375
cycling,0.508682075
tiki,0.508626823
18200mmvr,0.508601946
apples,0.5085807
heat,0.50856131
sd,0.508554617
housing,0.50853655
feld,0.508486847
drainage,0.508472907
chihuahua,0.508446335
kelowna,0.508385843
dude,0.508337326
pin,0.508334918
jp,0.508324442
maison,0.50823666
felt,0.508223319
metropolis,0.50815195
hungary,0.50814895
350,0.508125169
noise,0.508089866
calle,0.508024091
hose,0.508006719
alcohol,0.507995882
antiques,0.507924521
meal,0.507715816
j,0.507696675
icons,0.507619518
bradford,0.50761632
greenland,0.507527349
da,0.507483312
vino,0.507439138
ashland,0.507413839
hants,0.507302612
frau,0.507239558
ghostly,0.5072305
cardiff,0.507210891
photoshoot,0.507198422
be,0.507143262
hoboken,0.507087045
catalina,0.506981065
windy,0.506907017
flashlight,0.50688783
rip,0.506872041
tonemap,0.506862874
herbe,0.50685163
letterbox,0.506845702
a100,0.506821051
amateur,0.50678675
garota,0.506737296
bathing,0.506736243
mustang,0.506731398
stahl,0.506646505
