,acc,f1,kappa,prec,recall
corpse,0.801616826,0.407858211,0.322044284,0.272935124,0.806587838
apt,0.747961082,0.32984592,0.228595921,0.21286521,0.732263514
abusive,0.795321219,0.395265272,0.307281706,0.263603045,0.789695946
recalls,0.738732294,0.328182487,0.225561169,0.209783631,0.753378378
appalling,0.758549149,0.347826087,0.249814687,0.225507392,0.760135135
mankind,0.828086994,0.443878732,0.365936849,0.305608668,0.810650888
russell,0.742523966,0.325145322,0.222769866,0.208915663,0.732882502
unfolding,0.775575905,0.358355492,0.263908811,0.236373448,0.740490279
attacking,0.814351123,0.419073203,0.336508969,0.28501827,0.791208791
varied,0.754471312,0.329425557,0.229099834,0.214231258,0.712595097
machines,0.802976105,0.394725275,0.308054355,0.266706267,0.759087067
finely,0.775575905,0.360709191,0.266482535,0.237647691,0.748098056
titanic,0.790957218,0.378826531,0.28876541,0.252981261,0.753807107
scientific,0.87466018,0.5328,0.471603574,0.389018692,0.845177665
rendering,0.77664902,0.361815209,0.267918758,0.238544474,0.748730964
glamorous,0.792888825,0.384435467,0.295252298,0.256672345,0.765453006
savvy,0.775075118,0.362530414,0.26852364,0.238336444,0.756985605
alfred,0.821576763,0.436001809,0.356276856,0.297439062,0.816257409
backstory,0.81048791,0.408309136,0.32424202,0.277305825,0.773920406
realise,0.755830591,0.336121377,0.236779473,0.218181818,0.731583404
wry,0.783660037,0.382100531,0.291235256,0.251817937,0.791701948
royal,0.802260695,0.390652557,0.303615676,0.264083458,0.750211685
enthralled,0.792101874,0.383538396,0.294202959,0.255800792,0.766101695
downside,0.786092431,0.376303713,0.285342788,0.249584947,0.76440678
stripped,0.775647446,0.360522023,0.266475982,0.237379162,0.749152542
babe,0.773930462,0.363672976,0.269665429,0.238510301,0.765254237
sweetness,0.811561024,0.41388518,0.330533304,0.28062764,0.788135593
warrior,0.851480899,0.47839196,0.408123598,0.339878615,0.807463953
unsuspecting,0.771498068,0.358892011,0.264132956,0.23507757,0.75826972
artsy,0.815352697,0.424269462,0.342526942,0.28783293,0.806615776
bush,0.809343254,0.404202996,0.319688485,0.274438373,0.766751484
aesthetic,0.781585348,0.367253886,0.274812019,0.243006034,0.751484309
stanley,0.757690657,0.338088724,0.239335258,0.219654647,0.733672604
anxiety,0.78022607,0.375355836,0.283457497,0.246857449,0.782866836
reunion,0.768493347,0.35589172,0.260405891,0.232509753,0.75826972
oliver,0.747174131,0.325057296,0.223641671,0.209709216,0.722410866
landscapes,0.834668765,0.450677442,0.374807298,0.312974579,0.80475382
moderately,0.757547575,0.338473551,0.239805219,0.219771863,0.735993209
degrees,0.761339247,0.342011834,0.244223123,0.222764645,0.735993209
bluray,0.859779654,0.508278976,0.442063304,0.360626557,0.860662702
murky,0.787165546,0.376440998,0.28590107,0.249791377,0.763605442
gestures,0.7637001,0.353746821,0.25756587,0.229733164,0.768707483
mysteriously,0.790671055,0.376385337,0.286466292,0.25106625,0.751489362
wounds,0.783516955,0.368794326,0.277039734,0.244266372,0.752340426
expressive,0.773858921,0.362573099,0.268765872,0.237579281,0.765106383
artwork,0.813993418,0.408822192,0.325802743,0.278846154,0.765758092
rap,0.808270139,0.415102575,0.331592501,0.279049296,0.810051107
criticize,0.768135642,0.352188687,0.256619198,0.230086184,0.750425894
birds,0.777793676,0.359059018,0.26557934,0.236928105,0.741056218
specially,0.761482329,0.347042695,0.250029724,0.225330621,0.754684838
exclusively,0.744097868,0.325984549,0.224539984,0.209291072,0.736797274
sigh,0.767921019,0.347283702,0.251215486,0.227344573,0.735093697
transfers,0.805551581,0.409387223,0.324970921,0.274715661,0.803069054
sleeve,0.775361282,0.360228199,0.266549752,0.236680054,0.753623188
motive,0.785949349,0.375365344,0.284713655,0.248548521,0.766410912
paramount,0.742523966,0.335119158,0.234551378,0.213864655,0.773890785
structured,0.750393475,0.329425332,0.229296572,0.212602332,0.731228669
linked,0.776362856,0.355729596,0.261846778,0.23451087,0.736348123
cycle,0.757118329,0.333660451,0.235004008,0.21656051,0.726495726
deranged,0.814780369,0.415707515,0.333606048,0.282428703,0.787179487
pursuing,0.76005151,0.343896714,0.246645255,0.222983257,0.751282051
ignoring,0.763199313,0.343514478,0.246666487,0.223657025,0.74017094
conveyed,0.78315925,0.365235602,0.273463845,0.24181919,0.745936698
racism,0.845972242,0.467474648,0.395612918,0.328810021,0.808383234
imo,0.790957218,0.377768313,0.288369585,0.251488517,0.758768178
february,0.775361282,0.366680113,0.273923992,0.239841689,0.778253425
billing,0.745957934,0.333395908,0.233368057,0.213512864,0.760273973
fanatic,0.785806267,0.374425407,0.284025197,0.247582205,0.767780634
