,acc,f1,kappa,prec,recalls
lined,0.619902704,0.117881454,0.045053451,0.065353461,0.600676819
professionalism,0.668693661,0.135523614,0.065196086,0.076164499,0.614213198
presidents,0.714909143,0.16263921,0.09566397,0.092850288,0.654822335
appreciating,0.667978252,0.14039637,0.070392301,0.078826955,0.641285956
retribution,0.676348548,0.152173913,0.083237329,0.085563751,0.686971235
fugitive,0.720990127,0.179292929,0.113664523,0.102379236,0.720812183
parks,0.659536414,0.126628739,0.055416703,0.071016879,0.583756345
reconciliation,0.666046645,0.145993414,0.076331818,0.081846154,0.675126904
heady,0.637001002,0.131461828,0.060016624,0.073128928,0.649746193
quartet,0.643439691,0.124077329,0.052259079,0.069229261,0.597292724
familial,0.652596938,0.144769285,0.074666185,0.080794181,0.695431472
retail,0.673057662,0.135124905,0.065007581,0.076054538,0.605084746
antagonists,0.67649163,0.15,0.081025263,0.08435518,0.676271186
forehead,0.655387037,0.138436773,0.068066497,0.077384523,0.655932203
hooker,0.593432537,0.125557778,0.05286046,0.069047216,0.691525424
captions,0.68800973,0.144062807,0.075019745,0.081465039,0.622033898
sleaze,0.66211189,0.145776813,0.076105883,0.081595465,0.683050847
succeeding,0.672628416,0.141463415,0.071778334,0.079535865,0.638983051
voted,0.665259694,0.133036872,0.062550255,0.074682754,0.608474576
inhabits,0.631921591,0.136889784,0.065834421,0.075963508,0.691525424
ghetto,0.661825726,0.138509204,0.068428183,0.077582687,0.64516129
timer,0.661682644,0.129257964,0.058519334,0.072490706,0.595925297
searing,0.680354843,0.159518435,0.091432385,0.089697483,0.719864177
stems,0.666833596,0.139663772,0.069801073,0.078358209,0.641765705
monitor,0.726069538,0.164156298,0.097906913,0.094188377,0.638370119
disabled,0.62748605,0.123548224,0.051541126,0.068572496,0.623089983
nosed,0.66862212,0.140630798,0.070885934,0.078941887,0.643463497
differs,0.67792245,0.135892514,0.066084361,0.076606795,0.601018676
torch,0.637859493,0.122399445,0.050555442,0.068159876,0.599320883
crews,0.714622979,0.155767196,0.088528035,0.088974855,0.624787776
civilian,0.806123909,0.24301676,0.185764748,0.145387701,0.739795918
kooky,0.633423952,0.144859813,0.074647545,0.080310881,0.738095238
winded,0.702317928,0.150989594,0.083104085,0.085787155,0.629251701
undergoes,0.652096151,0.140964494,0.070917714,0.078651685,0.678571429
heir,0.693375304,0.149265582,0.080969794,0.084494382,0.639455782
hepburn,0.734511375,0.181697905,0.117044575,0.104383076,0.700680272
boarding,0.617398769,0.122415491,0.050218382,0.067744279,0.634353741
contrivance,0.618400343,0.13800905,0.066970271,0.07625,0.726190476
rollicking,0.691085992,0.154328241,0.086309801,0.087206729,0.670068027
apes,0.722778652,0.164330386,0.098071344,0.094097308,0.647959184
superiority,0.696236944,0.147047007,0.078690908,0.083371298,0.62244898
piss,0.666833596,0.1421993,0.07262776,0.079735592,0.656462585
accidently,0.656388611,0.135684722,0.065486759,0.075855131,0.642248722
carpet,0.645800544,0.122318738,0.050899644,0.068262762,0.587734242
prose,0.688582058,0.158515368,0.090819065,0.089402529,0.69846678
deceptive,0.667334383,0.137611276,0.067843409,0.077211238,0.632027257
yup,0.671197596,0.137711069,0.068058416,0.077377187,0.625212947
dope,0.653813135,0.138201247,0.068115334,0.07716786,0.660988075
rome,0.695879239,0.151666334,0.083724063,0.085895118,0.647359455
perfected,0.688438976,0.141871921,0.073131146,0.080196035,0.614334471
unsatisfied,0.628058377,0.137095436,0.066432741,0.075933076,0.704778157
filmic,0.646158249,0.133496847,0.062998581,0.074385006,0.650170648
modified,0.71540993,0.161467116,0.094956358,0.092111592,0.653583618
interminable,0.665259694,0.13399963,0.064034073,0.075150509,0.61774744
shoved,0.660466447,0.132675439,0.062600663,0.074278699,0.620512821
finance,0.630061525,0.126667793,0.055414869,0.070277361,0.641025641
goddess,0.660180283,0.135105608,0.065194252,0.075606277,0.634188034
richards,0.656245529,0.126839906,0.056242234,0.070963806,0.596581197
