,f1,acc,prec,kappa,recall
86,0.0391638,0.801606382,0.020027064,0.030461919,0.880952381
rocket,0.062475287,0.870451317,0.032310838,0.054080787,0.94047619
occurred,0.0329718,0.756420063,0.016791869,0.024177625,0.904761905
700,0.037008872,0.792427057,0.018907019,0.028279056,0.869047619
theyd,0.029101056,0.733854224,0.014798297,0.020258266,0.869047619
awful,0.030664395,0.751284013,0.015611448,0.021846213,0.857142857
intellect,0.167330677,0.954321932,0.091304348,0.160267407,1
village,0.100911854,0.91918916,0.053171044,0.093011446,0.988095238
huh,0.026959368,0.723909955,0.013701311,0.01809191,0.833333333
index,0.03192848,0.751502568,0.016254876,0.023121728,0.892857143
73,0.053553038,0.849360726,0.02757158,0.045039925,0.928571429
rely,0.035120581,0.774833352,0.017912587,0.02635899,0.892857143
economy,0.060267857,0.861982297,0.031105991,0.05183634,0.964285714
villages,0.2625,0.974210469,0.151079137,0.256571501,1
selection,0.028571429,0.736203694,0.014531314,0.019725252,0.845238095
4th,0.037453184,0.789367282,0.019127774,0.028724526,0.892857143
dept,0.027286703,0.723418206,0.013867188,0.018421917,0.845238095
xterm,0.17987152,0.958146651,0.098823529,0.172962636,1
specified,0.037919827,0.80592285,0.01940133,0.029211389,0.833333333
crazy,0.026950085,0.719866681,0.013693346,0.01808042,0.845238095
skepticism,0.239316239,0.970822861,0.13592233,0.233119118,1
stone,0.041829336,0.812260955,0.021416334,0.033162309,0.892857143
reads,0.031887755,0.751174735,0.016233766,0.023080426,0.892857143
existed,0.050343249,0.841274178,0.025882353,0.04178905,0.916666667
assembly,0.02962963,0.742323243,0.015072221,0.020900816,0.86746988
permanent,0.029807493,0.74390777,0.01516428,0.021081198,0.86746988
informed,0.03546798,0.786034313,0.018104099,0.026821656,0.86746988
japan,0.039245668,0.794011583,0.020046863,0.030639493,0.927710843
steps,0.028762406,0.738006775,0.014627112,0.020023403,0.855421687
trip,0.031004547,0.743853131,0.015772871,0.022288797,0.903614458
implement,0.044186047,0.820347503,0.022639261,0.03565039,0.915662651
promise,0.030180659,0.750682985,0.015361315,0.021461841,0.855421687
minimal,0.028991263,0.732816086,0.014738542,0.020251356,0.879518072
typically,0.032479414,0.768877718,0.016553975,0.023793266,0.855421687
capacity,0.024874762,0.691563764,0.012618297,0.016078499,0.86746988
un,0.066724437,0.882307944,0.034606742,0.058492012,0.927710843
depend,0.030465565,0.753087094,0.015508956,0.021750799,0.855421687
sp,0.031672297,0.749426292,0.016118633,0.022965857,0.903614458
broadcast,0.033928571,0.763523112,0.017284512,0.025251351,0.915662651
dog,0.03760948,0.795869304,0.019215583,0.028990682,0.879518072
experienced,0.03002262,0.742268605,0.015271967,0.021297247,0.879518072
sky,0.067948145,0.886078024,0.035283194,0.059736335,0.915662651
philosophy,0.035449102,0.779969402,0.018084066,0.026797593,0.891566265
trick,0.025683975,0.713965687,0.013043478,0.016905,0.831325301
derived,0.041383066,0.807616654,0.021169916,0.032808831,0.915662651
hmmm,0.028559603,0.743525298,0.014529375,0.019822052,0.831325301
worship,0.083801737,0.902032565,0.04375667,0.075774497,0.987951807
diamond,0.075542965,0.893017157,0.039312039,0.067415857,0.963855422
750,0.051536174,0.843131898,0.026494565,0.043094983,0.939759036
montreal,0.090100111,0.910610862,0.047230321,0.082159551,0.975903614
hook,0.04443128,0.823735111,0.022775585,0.035901848,0.903614458
believing,0.065448364,0.879849197,0.033920705,0.05719875,0.927710843
revealed,0.039042166,0.798273413,0.019952115,0.030438173,0.903614458
125,0.040793826,0.809856846,0.020874471,0.032216803,0.891566265
humanity,0.062208398,0.868211124,0.032128514,0.054001784,0.975609756
pattern,0.026615236,0.724237788,0.013521458,0.017954522,0.841463415
increasing,0.028518289,0.743142826,0.01450494,0.019884527,0.841463415
signs,0.027794809,0.740083051,0.014134276,0.019152959,0.829268293
pitcher,0.266233766,0.975303246,0.153558052,0.260489292,1
assistance,0.030243261,0.758223145,0.015398349,0.021633895,0.841463415
wearing,0.042021277,0.803190908,0.021479065,0.033550006,0.963414634
350,0.040117679,0.803901213,0.020508614,0.031630647,0.914634146
essential,0.027000964,0.724347066,0.013717421,0.018343682,0.853658537
temperature,0.05468216,0.848868976,0.028129395,0.046376435,0.975609756
amounts,0.032794565,0.774396241,0.016718414,0.024218767,0.853658537
contract,0.037082818,0.787181729,0.018925057,0.028554383,0.914634146
duty,0.033065237,0.763523112,0.016841147,0.024484004,0.902439024
facility,0.045094455,0.828761884,0.023125,0.03667802,0.902439024
buffalo,0.111581921,0.931264343,0.05922039,0.104018172,0.963414634
monday,0.03479942,0.781772484,0.017751479,0.026246751,0.87804878
socalled,0.025833021,0.715659491,0.013117871,0.017161218,0.841463415
ring,0.029620359,0.745820129,0.015067912,0.020997799,0.865853659
routines,0.047066409,0.838487597,0.024172185,0.038679953,0.890243902
influence,0.035635831,0.784121954,0.018181818,0.027092317,0.890243902
pixel,0.097677189,0.917222162,0.051346274,0.089920455,1
variable,0.044497182,0.824008305,0.022803284,0.036069735,0.914634146
protocol,0.062111801,0.876243034,0.03214745,0.053922067,0.914634146
drawn,0.040061633,0.795760026,0.0204617,0.031566464,0.951219512
md,0.054166667,0.851163807,0.027877055,0.045860273,0.951219512
39,0.03327787,0.777783849,0.016969697,0.024708853,0.853658537
camera,0.038421599,0.797617747,0.019628647,0.029913929,0.902439024
beings,0.046332046,0.838050486,0.023793787,0.037938684,0.87804878
francisco,0.04002079,0.798164135,0.020446097,0.031527463,0.93902439
bugs,0.036585366,0.792809529,0.018681889,0.028057458,0.87804878
announcement,0.039184538,0.801715659,0.020027064,0.030687322,0.902439024
gear,0.061121857,0.867391542,0.031562125,0.052904362,0.963414634
bytes,0.049248481,0.837558737,0.025287356,0.040879397,0.93902439
participate,0.037328094,0.785815758,0.019047619,0.028800652,0.926829268
davidians,0.142857143,0.94689105,0.076996198,0.135672148,0.987804878
quadra,0.271523179,0.975958912,0.157088123,0.265837649,1
acting,0.035854617,0.785487925,0.018295739,0.027314122,0.890243902
filter,0.035678392,0.790296142,0.018209797,0.02724328,0.87654321
hidden,0.026095424,0.726751175,0.013256826,0.01753633,0.827160494
pointing,0.028018129,0.742213966,0.014246805,0.019483929,0.839506173
stronger,0.037102922,0.792973446,0.01894136,0.028682289,0.901234568
detect,0.035758629,0.787837395,0.018246325,0.027322156,0.888888889
svga,0.082852648,0.904436674,0.043263965,0.075012898,0.975308642
politics,0.048473403,0.834826795,0.024870801,0.040194295,0.950617284
ethnic,0.08815427,0.909572724,0.046136101,0.080377513,0.987654321
wins,0.062269562,0.874931701,0.03220339,0.054175411,0.938271605
empty,0.033914497,0.778985903,0.017291768,0.025455201,0.87654321
lee,0.038706392,0.793738389,0.01976079,0.030300144,0.938271605
famous,0.031536331,0.751666485,0.0160451,0.023038015,0.913580247
wire,0.046467218,0.836302043,0.023848416,0.038173094,0.901234568
gary,0.036319018,0.785433286,0.018527792,0.027885392,0.913580247
breaking,0.028929188,0.75423451,0.014722039,0.020409983,0.827160494
ordinary,0.027381845,0.71664299,0.013902114,0.018828952,0.901234568
ati,0.175704989,0.958474484,0.096313912,0.168995571,1
educational,0.034466698,0.773467381,0.017564681,0.026008044,0.913580247
